Epoch: [0][2320/3789], lr: 0.00100	Time 4.191 (4.358)	Data 3.425 (3.577)	Loss 0.9021 (1.1386)	Prec@1 62.500 (64.964)	Prec@5 93.750 (91.379)
Epoch: [0][2340/3789], lr: 0.00100	Time 4.219 (4.359)	Data 3.451 (3.577)	Loss 0.5250 (1.1365)	Prec@1 81.250 (65.004)	Prec@5 96.875 (91.410)
Epoch: [0][2360/3789], lr: 0.00100	Time 4.385 (4.358)	Data 3.621 (3.577)	Loss 1.5420 (1.1356)	Prec@1 46.875 (65.024)	Prec@5 81.250 (91.418)
Epoch: [0][2380/3789], lr: 0.00100	Time 4.437 (4.358)	Data 3.672 (3.577)	Loss 1.3287 (1.1336)	Prec@1 56.250 (65.083)	Prec@5 90.625 (91.433)
Epoch: [0][2400/3789], lr: 0.00100	Time 4.700 (4.358)	Data 3.920 (3.577)	Loss 1.1282 (1.1311)	Prec@1 65.625 (65.149)	Prec@5 90.625 (91.454)
Epoch: [0][2420/3789], lr: 0.00100	Time 4.456 (4.358)	Data 3.683 (3.577)	Loss 0.9629 (1.1282)	Prec@1 68.750 (65.209)	Prec@5 96.875 (91.494)
Epoch: [0][2440/3789], lr: 0.00100	Time 4.466 (4.359)	Data 3.676 (3.577)	Loss 0.5704 (1.1264)	Prec@1 84.375 (65.256)	Prec@5 96.875 (91.521)
Epoch: [0][2460/3789], lr: 0.00100	Time 4.480 (4.359)	Data 3.696 (3.578)	Loss 0.8892 (1.1245)	Prec@1 65.625 (65.278)	Prec@5 96.875 (91.556)
Epoch: [0][2480/3789], lr: 0.00100	Time 4.391 (4.359)	Data 3.609 (3.578)	Loss 0.7407 (1.1220)	Prec@1 75.000 (65.342)	Prec@5 96.875 (91.575)
Epoch: [0][2500/3789], lr: 0.00100	Time 4.481 (4.358)	Data 3.704 (3.577)	Loss 0.6922 (1.1202)	Prec@1 71.875 (65.380)	Prec@5 96.875 (91.595)
Epoch: [0][2520/3789], lr: 0.00100	Time 4.601 (4.359)	Data 3.816 (3.578)	Loss 1.2626 (1.1187)	Prec@1 59.375 (65.416)	Prec@5 93.750 (91.619)
Epoch: [0][2540/3789], lr: 0.00100	Time 4.679 (4.358)	Data 3.910 (3.577)	Loss 0.6409 (1.1166)	Prec@1 78.125 (65.464)	Prec@5 96.875 (91.653)
Epoch: [0][2560/3789], lr: 0.00100	Time 4.627 (4.358)	Data 3.858 (3.577)	Loss 0.8958 (1.1150)	Prec@1 68.750 (65.509)	Prec@5 96.875 (91.680)
Epoch: [0][2580/3789], lr: 0.00100	Time 4.169 (4.357)	Data 3.404 (3.577)	Loss 0.7127 (1.1133)	Prec@1 75.000 (65.541)	Prec@5 93.750 (91.709)
Epoch: [0][2600/3789], lr: 0.00100	Time 4.545 (4.357)	Data 3.781 (3.576)	Loss 0.7959 (1.1111)	Prec@1 65.625 (65.582)	Prec@5 96.875 (91.739)
Epoch: [0][2620/3789], lr: 0.00100	Time 4.670 (4.357)	Data 3.867 (3.576)	Loss 1.0107 (1.1102)	Prec@1 71.875 (65.606)	Prec@5 90.625 (91.759)
Epoch: [0][2640/3789], lr: 0.00100	Time 4.701 (4.357)	Data 3.912 (3.576)	Loss 1.2757 (1.1085)	Prec@1 71.875 (65.659)	Prec@5 84.375 (91.780)
Epoch: [0][2660/3789], lr: 0.00100	Time 4.085 (4.357)	Data 3.264 (3.576)	Loss 0.5030 (1.1070)	Prec@1 90.625 (65.693)	Prec@5 100.000 (91.805)
Epoch: [0][2680/3789], lr: 0.00100	Time 4.195 (4.357)	Data 3.426 (3.576)	Loss 1.0627 (1.1056)	Prec@1 75.000 (65.724)	Prec@5 90.625 (91.829)
Epoch: [0][2700/3789], lr: 0.00100	Time 3.899 (4.357)	Data 3.133 (3.576)	Loss 0.7197 (1.1037)	Prec@1 71.875 (65.768)	Prec@5 93.750 (91.854)
Epoch: [0][2720/3789], lr: 0.00100	Time 4.523 (4.357)	Data 3.756 (3.576)	Loss 0.7893 (1.1026)	Prec@1 78.125 (65.806)	Prec@5 96.875 (91.875)
Epoch: [0][2740/3789], lr: 0.00100	Time 4.259 (4.357)	Data 3.507 (3.576)	Loss 1.0460 (1.1007)	Prec@1 68.750 (65.854)	Prec@5 87.500 (91.895)
Epoch: [0][2760/3789], lr: 0.00100	Time 4.519 (4.357)	Data 3.743 (3.577)	Loss 0.8955 (1.0991)	Prec@1 65.625 (65.897)	Prec@5 93.750 (91.915)
Epoch: [0][2780/3789], lr: 0.00100	Time 4.836 (4.357)	Data 4.050 (3.576)	Loss 0.8483 (1.0977)	Prec@1 75.000 (65.935)	Prec@5 93.750 (91.937)
Epoch: [0][2800/3789], lr: 0.00100	Time 4.077 (4.357)	Data 3.320 (3.576)	Loss 0.6428 (1.0960)	Prec@1 68.750 (65.984)	Prec@5 100.000 (91.963)
Epoch: [0][2820/3789], lr: 0.00100	Time 4.337 (4.357)	Data 3.562 (3.576)	Loss 1.2520 (1.0947)	Prec@1 62.500 (66.027)	Prec@5 90.625 (91.982)
Epoch: [0][2840/3789], lr: 0.00100	Time 4.306 (4.356)	Data 3.486 (3.576)	Loss 0.4910 (1.0933)	Prec@1 81.250 (66.062)	Prec@5 100.000 (91.999)
Epoch: [0][2860/3789], lr: 0.00100	Time 4.505 (4.357)	Data 3.732 (3.577)	Loss 0.6483 (1.0914)	Prec@1 71.875 (66.100)	Prec@5 100.000 (92.024)
